# n_walkers  100  n_cull  1  simple log(alpha)  -0.009950330853167877
#   T     log_Z(T)      F(T)        U(T)       Cvp(T)    low_pct_i(T) mode_i(T) high_pct_i(T) low_pct_iter(T)  mode_iter(T)   high_pct_iter(T) Z_fract(T)
     10    -141.115   -0.603978   -0.612845 8.16712e-06    13961    13999    13999           13961           13999           13999 0.925815
     15    -140.645   -0.599553   -0.612799 1.04672e-05    13943    13999    13999           13943           13999           13999 0.894175
     20    -140.272   -0.595147    -0.61274 1.29116e-05    13917    13999    13999           13917           13999           13999 0.878046
     25    -139.945   -0.590756   -0.612669  1.5616e-05    13873    13999    13999           13873           13999           13999 0.899102
     30    -139.645   -0.586381   -0.612583  1.8863e-05    13827    13999    13999           13827           13999           13999 0.901033
     35     -139.36   -0.582022   -0.612479 2.28046e-05    13768    13999    13999           13768           13999           13999 0.908463
     40    -139.081    -0.57768   -0.612354 2.75294e-05    13700    13999    13999           13700           13999           13999 0.912328
     45    -138.804   -0.573354   -0.612202 3.32531e-05    13614    13999    13999           13614           13999           13999 0.918174
     50    -138.524   -0.569047   -0.612019 4.03892e-05    13482    13999    13999           13482           13999           13999 0.945276
     55    -138.237   -0.564761   -0.611795 4.94159e-05    13370    13999    13999           13370           13999           13999 0.950079
     60    -137.938   -0.560496   -0.611521 6.06398e-05    13245    13999    13999           13245           13999           13999 0.948066
     65    -137.624   -0.556257   -0.611185 7.40053e-05    12994    13977    13999           12994           13977           13999 0.970478
     70     -137.29   -0.552047   -0.610778 8.90536e-05    12807    13774    13999           12807           13774           13999 0.976945
     75    -136.935   -0.547868   -0.610293 0.000105049    12637    13559    13999           12637           13559           13999 0.977319
     80    -136.554   -0.543725   -0.609728 0.000121198    12441    13559    13999           12441           13559           13999 0.981466
     85    -136.148   -0.539619   -0.609082  0.00013683    12282    13534    13999           12282           13534           13999 0.980288
     90    -135.717   -0.535553   -0.608361  0.00015145    12069    13048    13999           12069           13048           13999 0.983676
     95    -135.261    -0.53153    -0.60757 0.000164703    11952    12970    13999           11952           12970           13999 0.979635
    100    -134.782   -0.527549   -0.606717 0.000176367    11766    12970    13999           11766           12970           13999 0.98111
    105    -134.283   -0.523613   -0.605809 0.000186439    11550    12570    13935           11550           12570           13935 0.982878
    110    -133.765   -0.519721   -0.604854 0.000195225    11492    12570    13802           11492           12570           13802 0.968941
    115    -133.232   -0.515874   -0.603858 0.000203308    11311    12458    13675           11311           12458           13675 0.96499
    120    -132.685    -0.51207   -0.602821 0.000211351    11091    12432    13579           11091           12432           13579 0.966923
    125    -132.126   -0.508311   -0.601744 0.000219809    10880    12042    13430           10880           12042           13430 0.96825
    130    -131.556   -0.504596   -0.600623 0.000228713    10774    11851    13295           10774           11851           13295 0.964121
    135    -130.977   -0.500924   -0.599457 0.000237591    10658    11851    13153           10658           11851           13153 0.95897
    140     -130.39   -0.497297   -0.598248 0.000245572    10512    11607    13064           10512           11607           13064 0.959111
    145    -129.796   -0.493713   -0.597004 0.000251602    10247    11607    12934           10247           11607           12934 0.966242
    150    -129.196   -0.490173   -0.595737  0.00025473    10122    11607    12826           10122           11607           12826 0.969038
    155    -128.591   -0.486675   -0.594463 0.000254351    10012    11607    12719           10012           11607           12719 0.971677
    160    -127.984   -0.483219   -0.593199 0.000250353     9936    10989    12602            9936           10989           12602 0.971335
    165    -127.376   -0.479801   -0.591965 0.000243114     9859    10895    12472            9859           10895           12472 0.970472
    170     -126.77    -0.47642   -0.590772 0.000233385     9816    10895    12320            9816           10895           12320 0.965792
    175    -126.167   -0.473073   -0.589633 0.000222097     9751    10895    12219            9751           10895           12219 0.966286
    180     -125.57   -0.469759   -0.588553 0.000210188     9676    10895    12136            9676           10895           12136 0.968243
    185     -124.98   -0.466473   -0.587531 0.000198472     9615    10199    12018            9615           10199           12018 0.966406
    190    -124.399   -0.463214   -0.586566 0.000187576     9593    10199    11874            9593           10199           11874 0.95959
    195    -123.828    -0.45998   -0.585653 0.000177929     9532    10199    11741            9532           10199           11741 0.955502
    200    -123.268   -0.456769   -0.584785  0.00016979     9484    10199    11640            9484           10199           11640 0.952802
    205    -122.718   -0.453579   -0.583953 0.000163281     9405    10199    11538            9405           10199           11538 0.952876
    210     -122.18   -0.450409   -0.583149 0.000158434     9368    10199    11399            9368           10199           11399 0.946758
    215    -121.652   -0.447257   -0.582366 0.000155218     9309    10199    11307            9309           10199           11307 0.946187
    220    -121.136   -0.444124   -0.581594 0.000153569     9283    10199    11239            9283           10199           11239 0.943766
    225     -120.63   -0.441009   -0.580827 0.000153402     9216    10152    11169            9216           10152           11169 0.943946
    230    -120.135    -0.43791   -0.580058 0.000154623     9175    10152    11135            9175           10152           11135 0.943963
    235     -119.65   -0.434828   -0.579279  0.00015713     9100     9984    11080            9100            9984           11080 0.944047
    240    -119.173   -0.431763   -0.578485 0.000160814     9001     9984    11034            9001            9984           11034 0.946979
    245    -118.706   -0.428715   -0.577669 0.000165555     8911     9984    11002            8911            9984           11002 0.950414
    250    -118.246   -0.425684   -0.576828 0.000171221     8814     9984    10954            8814            9984           10954 0.952527
    255    -117.794   -0.422669   -0.575956  0.00017766     8711     9984    10917            8711            9984           10917 0.956397
    260    -117.348   -0.419672    -0.57505 0.000184705     8682     9860    10866            8682            9860           10866 0.951803
    265    -116.909   -0.416693   -0.574108  0.00019217     8532     9860    10815            8532            9860           10815 0.95757
    270    -116.476   -0.413732   -0.573128 0.000199856     8421     9860    10763            8421            9860           10763 0.96148
    275    -116.047    -0.41079   -0.572109 0.000207559     8372     9822    10723            8372            9822           10723 0.961287
    280    -115.624   -0.407866   -0.571053 0.000215076     8269     9822    10684            8269            9822           10684 0.964661
    285    -115.204   -0.404962   -0.569959 0.000222222     8213     9414    10632            8213            9414           10632 0.964154
    290    -114.788   -0.402077   -0.568831 0.000228839     8132     9414    10597            8132            9414           10597 0.96701
    295    -114.376   -0.399212   -0.567672 0.000234805     8082     9409    10547            8082            9409           10547 0.966518
    300    -113.968   -0.396367   -0.566484 0.000240048     8041     9409    10502            8041            9409           10502 0.965471
    305    -113.562   -0.393541   -0.565273 0.000244546     7955     9409    10470            7955            9409           10470 0.968033
    310    -113.159   -0.390736    -0.56404 0.000248334     7916     9409    10437            7916            9409           10437 0.967296
    315    -112.759   -0.387951    -0.56279 0.000251495     7859     9409    10413            7859            9409           10413 0.967879
    320    -112.361   -0.385186   -0.561526 0.000254158     7784     9409    10395            7784            9409           10395 0.969291
    325    -111.966    -0.38244   -0.560249 0.000256489     7677     8786    10347            7677            8786           10347 0.970881
    330    -111.574   -0.379714   -0.558961 0.000258679     7607     8459    10301            7607            8459           10301 0.970677
    335    -111.184   -0.377008   -0.557662 0.000260937     7575     8459    10260            7575            8459           10260 0.968202
    340    -110.797   -0.374322   -0.556352 0.000263475     7523     8459    10208            7523            8459           10208 0.965923
    345    -110.412   -0.371654   -0.555027 0.000266499     7478     8459    10155            7478            8459           10155 0.962703
    350    -110.029   -0.369007   -0.553685 0.000270204     7440     8459    10085            7440            8459           10085 0.957415
    355    -109.648   -0.366378   -0.552323 0.000274762     7416     8459    10038            7416            8459           10038 0.951938
    360     -109.27   -0.363769   -0.550936 0.000280316     7278     8459     9986            7278            8459            9986 0.954831
    365    -108.893   -0.361179   -0.549518 0.000286975     7208     8459     9908            7208            8459            9908 0.950504
    370    -108.518   -0.358609   -0.548064 0.000294805     7160     8459     9867            7160            8459            9867 0.946848
    375    -108.145   -0.356059   -0.546568 0.000303827     7025     8459     9787            7025            8459            9787 0.946976
    380    -107.773   -0.353529   -0.545024 0.000314011     6896     8459     9732            6896            8459            9732 0.948974
    385    -107.403   -0.351019   -0.543426 0.000325273     6736     8459     9705            6736            8459            9705 0.954403
    390    -107.033   -0.348531    -0.54177 0.000337474     6591     8159     9657            6591            8159            9657 0.958261
    395    -106.664   -0.346065    -0.54005 0.000350422     6452     8159     9569            6452            8159            9569 0.959546
    400    -106.296    -0.34362   -0.538265 0.000363878     6375     8159     9536            6375            8159            9536 0.961278
    405    -105.927   -0.341199   -0.536411 0.000377565     6280     8159     9492            6280            8159            9492 0.963439
    410    -105.559   -0.338801   -0.534489 0.000391181     6217     8159     9448            6217            8159            9448 0.963818
    415    -105.191   -0.336426     -0.5325 0.000404413     6149     8108     9419            6149            8108            9419 0.96482
    420    -104.822   -0.334076   -0.530446 0.000416957     6104     8108     9355            6104            8108            9355 0.961852
    425    -104.452   -0.331751   -0.528332 0.000428537     6032     8108     9310            6032            8108            9310 0.961203
    430    -104.082   -0.329451   -0.526163 0.000438921     5883     8108     9242            5883            8108            9242 0.963687
    435    -103.712   -0.327176   -0.523945 0.000447934     5683     8108     9211            5683            8108            9211 0.970725
    440     -103.34   -0.324927   -0.521686 0.000455469     5621     7617     9142            5621            7617            9142 0.969919
    445    -102.968   -0.322704   -0.519393 0.000461489     5560     7617     9091            5560            7617            9091 0.96948
    450    -102.594   -0.320507   -0.517074 0.000466026     5439     7617     9046            5439            7617            9046 0.972201
    455     -102.22   -0.318336   -0.514735 0.000469173     5356     6625     9003            5356            6625            9003 0.973194
    460    -101.846   -0.316191   -0.512384 0.000471071     5315     6625     8939            5315            6625            8939 0.971272
    465     -101.47   -0.314071   -0.510026 0.000471897     5232     6625     8861            5232            6625            8861 0.970434
    470    -101.094   -0.311977   -0.507667 0.000471849     5201     6452     8791            5201            6452            8791 0.967418
    475    -100.718   -0.309907   -0.505309 0.000471129     5140     6452     8720            5140            6452            8720 0.965567
    480    -100.341   -0.307863   -0.502956 0.000469934     5011     6422     8627            5011            6422            8627 0.96662
    485    -99.9646   -0.305843    -0.50061 0.000468442     4961     6422     8561            4961            6422            8561 0.965249
    490    -99.5876   -0.303847   -0.498272  0.00046681     4941     6422     8502            4941            6422            8502 0.962125
    495    -99.2107   -0.301875   -0.495942 0.000465166     4791     6422     8470            4791            6422            8470 0.967703
    500    -98.8339   -0.299926    -0.49362 0.000463606     4778     6422     8382            4778            6422            8382 0.962658
    505    -98.4573   -0.298001   -0.491306 0.000462199     4687     6422     8294            4687            6422            8294 0.962342
    510    -98.0811   -0.296098   -0.488998 0.000460988     4628     6422     8237            4628            6422            8237 0.962015
    515    -97.7051   -0.294218   -0.486695 0.000459987     4578     6260     8186            4578            6260            8186 0.961329
    520    -97.3297   -0.292361   -0.484398 0.000459196     4499     6260     8116            4499            6260            8116 0.961131
    525    -96.9547   -0.290525   -0.482103 0.000458594     4344     6260     7982            4344            6260            7982 0.961897
    530    -96.5804   -0.288712   -0.479811  0.00045815     4264     6240     7925            4264            6240            7925 0.963713
    535    -96.2066    -0.28692   -0.477521 0.000457823     4220     6240     7798            4220            6240            7798 0.960311
    540    -95.8335   -0.285149   -0.475233 0.000457569     4174     6240     7757            4174            6240            7757 0.96149
    545    -95.4611   -0.283399   -0.472946  0.00045734     4111     5684     7706            4111            5684            7706 0.962427
    550    -95.0895   -0.281671    -0.47066  0.00045709     4059     5668     7639            4059            5668            7639 0.961961
    555    -94.7187   -0.279963   -0.468375 0.000456772     4034     5668     7548            4034            5668            7548 0.95846
    560    -94.3486   -0.278276   -0.466092 0.000456345     3891     5668     7463            3891            5668            7463 0.961901
    565    -93.9795   -0.276609   -0.463812 0.000455772     3804     5668     7370            3804            5668            7370 0.962677
    570    -93.6112   -0.274963   -0.461535 0.000455018     3752     5632     7319            3752            5632            7319 0.963817
    575    -93.2438   -0.273336   -0.459262 0.000454057     3727     5632     7268            3727            5632            7268 0.96319
    580    -92.8774   -0.271729   -0.456994 0.000452867     3693     5473     7202            3693            5473            7202 0.962014
    585    -92.5121   -0.270142   -0.454734  0.00045143     3581     5473     7132            3581            5473            7132 0.96468
    590    -92.1477   -0.268574   -0.452481 0.000449733     3513     4983     7084            3513            4983            7084 0.9664
    595    -91.7844   -0.267025   -0.450237 0.000447769     3458     4983     7015            3458            4983            7015 0.966301
    600    -91.4222   -0.265494   -0.448003 0.000445535     3399     4983     6974            3399            4983            6974 0.967968
    605    -91.0611   -0.263983   -0.445782 0.000443031     3350     4983     6903            3350            4983            6903 0.967653
    610    -90.7013   -0.262489   -0.443573 0.000440261     3293     4983     6821            3293            4983            6821 0.96723
    615    -90.3426   -0.261014    -0.44138 0.000437232     3249     4791     6783            3249            4791            6783 0.968583
    620    -89.9852   -0.259556   -0.439202 0.000433955     3225     4791     6746            3225            4791            6746 0.968673
    625    -89.6291   -0.258116    -0.43704  0.00043044     3159     4791     6689            3159            4791            6689 0.969833
    630    -89.2743   -0.256694   -0.434898 0.000426704     3123     4791     6654            3123            4791            6654 0.970713
    635     -88.921   -0.255288   -0.432774 0.000422762     3103     4791     6620            3103            4791            6620 0.970595
    640     -88.569   -0.253898    -0.43067 0.000418633     3060     4791     6563            3060            4791            6563 0.970375
    645    -88.2185   -0.252526   -0.428588 0.000414335     3016     4791     6510            3016            4791            6510 0.97057
    650    -87.8695   -0.251169   -0.426527  0.00040989     2969     4344     6466            2969            4344            6466 0.971429
    655     -87.522   -0.249828   -0.424489 0.000405317     2940     4315     6424            2940            4315            6424 0.971415
    660     -87.176   -0.248502   -0.422474 0.000400638     2928     4315     6352            2928            4315            6352 0.968894
    665    -86.8317   -0.247192   -0.420483 0.000395876     2895     4315     6288            2895            4315            6288 0.967894
    670     -86.489   -0.245896   -0.418515 0.000391051     2855     4259     6242            2855            4259            6242 0.968195
    675     -86.148   -0.244615   -0.416572 0.000386186     2822     4259     6089            2822            4259            6089 0.962729
    680    -85.8086   -0.243348   -0.414654 0.000381299     2798     4259     6011            2798            4259            6011 0.961141
    685     -85.471   -0.242096   -0.412759 0.000376413     2775     4238     5968            2775            4238            5968 0.961273
    690    -85.1351   -0.240857   -0.410889 0.000371544     2761     4238     5949            2761            4238            5949 0.961934
    695    -84.8011   -0.239631   -0.409044 0.000366713     2747     4238     5886            2747            4238            5886 0.959889
    700    -84.4688   -0.238419   -0.407222 0.000361935     2700     3804     5839            2700            3804            5839 0.960531
    705    -84.1383    -0.23722   -0.405424 0.000357225     2617     3804     5808            2617            3804            5808 0.96386
    710    -83.8096   -0.236033    -0.40365 0.000352598     2585     3804     5767            2585            3804            5767 0.964044
